orig_index,name,type,hw_op,in_h,in_w,in_c_or_features,out_h,out_w,out_c_or_features,kernel_h,kernel_w,stride_h,stride_w,pad_h,pad_w,groups,weight_shape,params,macs,output_elements,weight_bit,activation_bit,x_min,x_max,int_accumulator,note
49,conv_3.model.3.1,QuantAct,activation_quant_or_residual_add_quant,28,28,64,28,28,64,,,,,,,,,0,,50176,,8,-8.75257682800293,7.589846611022949,,residual_add_output_quant
50,conv_34.conv.conv,Quant_Conv2d,conv1x1,28,28,64,28,28,256,1,1,1,1,0,0,1,"[256, 64, 1, 1]",16384,12845056,200704,8,,,,INT32,
52,conv_34.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,28,28,256,28,28,256,,,,,,,,,256,,200704,,8,-0.28298792243003845,1.499998688697815,,prelu_then_activation_quant
53,conv_34.conv_dw.conv,Quant_Conv2d,dwconv3x3,28,28,256,14,14,256,3,3,2,2,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
55,conv_34.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-1.6584945917129517,2.974113941192627,,prelu_then_activation_quant
56,conv_34.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
58,conv_4.model.0.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
60,conv_4.model.0.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.20248548686504364,1.3485243320465088,,prelu_then_activation_quant
61,conv_4.model.0.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
63,conv_4.model.0.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.3201037347316742,2.105782985687256,,prelu_then_activation_quant
64,conv_4.model.0.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
66,conv_4.model.0.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-2.30216121673584,3.2521519660949707,,residual_add_output_quant
67,conv_4.model.1.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
69,conv_4.model.1.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.1649332493543625,0.8791435360908508,,prelu_then_activation_quant
70,conv_4.model.1.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
72,conv_4.model.1.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.15431812405586243,2.76716947555542,,prelu_then_activation_quant
73,conv_4.model.1.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
75,conv_4.model.1.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-2.259183168411255,3.2643392086029053,,residual_add_output_quant
76,conv_4.model.2.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
78,conv_4.model.2.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.1971278041601181,0.9220935702323914,,prelu_then_activation_quant
79,conv_4.model.2.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
81,conv_4.model.2.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.16117532551288605,3.0438568592071533,,prelu_then_activation_quant
82,conv_4.model.2.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
84,conv_4.model.2.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-2.5491206645965576,3.3017144203186035,,residual_add_output_quant
85,conv_4.model.3.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
87,conv_4.model.3.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.1364833116531372,0.960823655128479,,prelu_then_activation_quant
88,conv_4.model.3.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
90,conv_4.model.3.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.4806644916534424,3.624673366546631,,prelu_then_activation_quant
91,conv_4.model.3.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
93,conv_4.model.3.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-2.6266443729400635,3.4263200759887695,,residual_add_output_quant
94,conv_4.model.4.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
96,conv_4.model.4.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.2898591458797455,1.1090195178985596,,prelu_then_activation_quant
97,conv_4.model.4.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
99,conv_4.model.4.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.5532326102256775,2.7197790145874023,,prelu_then_activation_quant
100,conv_4.model.4.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
102,conv_4.model.4.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-4.7037835121154785,3.6945767402648926,,residual_add_output_quant
103,conv_4.model.5.0.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,6422528,50176,8,,,,INT32,
105,conv_4.model.5.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.24183405935764313,1.0286678075790405,,prelu_then_activation_quant
106,conv_4.model.5.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,256,14,14,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,451584,50176,8,,,,INT32,
108,conv_4.model.5.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,256,14,14,256,,,,,,,,,256,,50176,,8,-0.6711417436599731,3.2283735275268555,,prelu_then_activation_quant
109,conv_4.model.5.0.project.conv,Quant_Conv2d,conv1x1,14,14,256,14,14,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,6422528,25088,8,,,,INT32,
111,conv_4.model.5.1,QuantAct,activation_quant_or_residual_add_quant,14,14,128,14,14,128,,,,,,,,,0,,25088,,8,-6.100615501403809,6.797799110412598,,residual_add_output_quant
112,conv_45.conv.conv,Quant_Conv2d,conv1x1,14,14,128,14,14,512,1,1,1,1,0,0,1,"[512, 128, 1, 1]",65536,12845056,100352,8,,,,INT32,
114,conv_45.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,14,14,512,14,14,512,,,,,,,,,512,,100352,,8,-0.256062388420105,1.0763914585113525,,prelu_then_activation_quant
115,conv_45.conv_dw.conv,Quant_Conv2d,dwconv3x3,14,14,512,7,7,512,3,3,2,2,1,1,512,"[512, 1, 3, 3]",4608,225792,25088,8,,,,INT32,
117,conv_45.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,512,7,7,512,,,,,,,,,512,,25088,,8,-2.0103464126586914,2.2492220401763916,,prelu_then_activation_quant
118,conv_45.project.conv,Quant_Conv2d,conv1x1,7,7,512,7,7,128,1,1,1,1,0,0,1,"[128, 512, 1, 1]",65536,3211264,6272,8,,,,INT32,
120,conv_5.model.0.0.conv.conv,Quant_Conv2d,conv1x1,7,7,128,7,7,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,1605632,12544,8,,,,INT32,
122,conv_5.model.0.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,256,7,7,256,,,,,,,,,256,,12544,,8,-0.4806559979915619,0.9166358709335327,,prelu_then_activation_quant
123,conv_5.model.0.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,7,7,256,7,7,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,112896,12544,8,,,,INT32,
125,conv_5.model.0.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,256,7,7,256,,,,,,,,,256,,12544,,8,-0.1636878252029419,2.3540730476379395,,prelu_then_activation_quant
126,conv_5.model.0.0.project.conv,Quant_Conv2d,conv1x1,7,7,256,7,7,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,1605632,6272,8,,,,INT32,
128,conv_5.model.0.1,QuantAct,activation_quant_or_residual_add_quant,7,7,128,7,7,128,,,,,,,,,0,,6272,,8,-2.3891208171844482,2.6153173446655273,,residual_add_output_quant
129,conv_5.model.1.0.conv.conv,Quant_Conv2d,conv1x1,7,7,128,7,7,256,1,1,1,1,0,0,1,"[256, 128, 1, 1]",32768,1605632,12544,8,,,,INT32,
131,conv_5.model.1.0.conv.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,256,7,7,256,,,,,,,,,256,,12544,,8,-0.4501574635505676,1.3369637727737427,,prelu_then_activation_quant
132,conv_5.model.1.0.conv_dw.conv,Quant_Conv2d,dwconv3x3,7,7,256,7,7,256,3,3,1,1,1,1,256,"[256, 1, 3, 3]",2304,112896,12544,8,,,,INT32,
134,conv_5.model.1.0.conv_dw.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,256,7,7,256,,,,,,,,,256,,12544,,8,-0.5260478854179382,2.9629030227661133,,prelu_then_activation_quant
135,conv_5.model.1.0.project.conv,Quant_Conv2d,conv1x1,7,7,256,7,7,128,1,1,1,1,0,0,1,"[128, 256, 1, 1]",32768,1605632,6272,8,,,,INT32,
137,conv_5.model.1.1,QuantAct,activation_quant_or_residual_add_quant,7,7,128,7,7,128,,,,,,,,,0,,6272,,8,-3.932542324066162,2.900538444519043,,residual_add_output_quant
138,conv_6_sep.conv,Quant_Conv2d,conv1x1,7,7,128,7,7,512,1,1,1,1,0,0,1,"[512, 128, 1, 1]",65536,3211264,25088,8,,,,INT32,
140,conv_6_sep.prelu,QuantActPreLu,prelu_plus_activation_quant,7,7,512,7,7,512,,,,,,,,,512,,25088,,8,-0.133229598402977,2.2294070720672607,,prelu_then_activation_quant
141,output_layer.conv_6_dw.conv,Quant_Conv2d,linear_gdconv7x7_depthwise,7,7,512,1,1,512,7,7,1,1,0,0,512,"[512, 1, 7, 7]",25088,25088,512,8,,,,INT32,
143,output_layer.linear,Quant_Linear,linear_fc,,512,512,,128,128,,,,,,,,"[128, 512]",65536,65536,128,8,,,,INT32,
