index,name,type,input_shape,output_shape,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,in_features,out_features,num_features,weight_shape,bias_shape,prelu_weight_shape,running_mean_shape,running_var_shape,param_numel,buffer_numel,macs,output_elements,weight_bit,activation_bit,x_min,x_max,full_precision,running_stat,note
134,conv_5.model.1.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 7, 7]","[1, 256, 7, 7]",,,,,,,,,,,,,[256],,,256,0,,12544,,8,-0.5260478854179382,2.9629030227661133,False,True,prelu_then_activation_quant
135,conv_5.model.1.0.project.conv,Quant_Conv2d,"[1, 256, 7, 7]","[1, 128, 7, 7]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,1605632,6272,8,,,,False,,
136,conv_5.model.1.0.project.bn,BatchNorm2d,"[1, 128, 7, 7]","[1, 128, 7, 7]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,6272,,,,,,,
137,conv_5.model.1.1,QuantAct,"[1, 128, 7, 7]","[1, 128, 7, 7]",,,,,,,,,,,,,,,,0,4,,6272,,8,-3.932542324066162,2.900538444519043,False,False,residual_add_output_quant
138,conv_6_sep.conv,Quant_Conv2d,"[1, 128, 7, 7]","[1, 512, 7, 7]",128,512,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[512, 128, 1, 1]",,,,,65536,0,3211264,25088,8,,,,False,,
139,conv_6_sep.bn,BatchNorm2d,"[1, 512, 7, 7]","[1, 512, 7, 7]",,,,,,,,,,512,[512],[512],,[512],[512],1024,1025,,25088,,,,,,,
140,conv_6_sep.prelu,QuantActPreLu,"[1, 512, 7, 7]","[1, 512, 7, 7]",,,,,,,,,,,,,[512],,,512,0,,25088,,8,-0.133229598402977,2.2294070720672607,False,True,prelu_then_activation_quant
141,output_layer.conv_6_dw.conv,Quant_Conv2d,"[1, 512, 7, 7]","[1, 512, 1, 1]",512,512,"[7, 7]","[1, 1]","[0, 0]","[1, 1]",512,,,,"[512, 1, 7, 7]",,,,,25088,0,25088,512,8,,,,False,,
142,output_layer.conv_6_dw.bn,BatchNorm2d,"[1, 512, 1, 1]","[1, 512, 1, 1]",,,,,,,,,,512,[512],[512],,[512],[512],1024,1025,,512,,,,,,,
143,output_layer.linear,Quant_Linear,"[1, 512]","[1, 128]",,,,,,,,512,128,,"[128, 512]",,,,,65536,0,65536,128,8,,,,False,,
144,output_layer.bn,BatchNorm1d,"[1, 128]","[1, 128]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,128,,,,,,,
