index,name,type,input_shape,output_shape,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,in_features,out_features,num_features,weight_shape,bias_shape,prelu_weight_shape,running_mean_shape,running_var_shape,param_numel,buffer_numel,macs,output_elements,weight_bit,activation_bit,x_min,x_max,full_precision,running_stat,note
79,conv_4.model.2.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
80,conv_4.model.2.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
81,conv_4.model.2.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.16117532551288605,3.0438568592071533,False,True,prelu_then_activation_quant
82,conv_4.model.2.0.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
83,conv_4.model.2.0.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
84,conv_4.model.2.1,QuantAct,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,,,,,,,0,4,,25088,,8,-2.5491206645965576,3.3017144203186035,False,False,residual_add_output_quant
85,conv_4.model.3.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
86,conv_4.model.3.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
87,conv_4.model.3.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.1364833116531372,0.960823655128479,False,True,prelu_then_activation_quant
88,conv_4.model.3.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
89,conv_4.model.3.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
90,conv_4.model.3.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.4806644916534424,3.624673366546631,False,True,prelu_then_activation_quant
91,conv_4.model.3.0.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
92,conv_4.model.3.0.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
93,conv_4.model.3.1,QuantAct,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,,,,,,,0,4,,25088,,8,-2.6266443729400635,3.4263200759887695,False,False,residual_add_output_quant
94,conv_4.model.4.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
95,conv_4.model.4.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
96,conv_4.model.4.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.2898591458797455,1.1090195178985596,False,True,prelu_then_activation_quant
97,conv_4.model.4.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
98,conv_4.model.4.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
99,conv_4.model.4.0.conv_dw.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.5532326102256775,2.7197790145874023,False,True,prelu_then_activation_quant
100,conv_4.model.4.0.project.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 128, 14, 14]",256,128,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[128, 256, 1, 1]",,,,,32768,0,6422528,25088,8,,,,False,,
101,conv_4.model.4.0.project.bn,BatchNorm2d,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,128,[128],[128],,[128],[128],256,257,,25088,,,,,,,
102,conv_4.model.4.1,QuantAct,"[1, 128, 14, 14]","[1, 128, 14, 14]",,,,,,,,,,,,,,,,0,4,,25088,,8,-4.7037835121154785,3.6945767402648926,False,False,residual_add_output_quant
103,conv_4.model.5.0.conv.conv,Quant_Conv2d,"[1, 128, 14, 14]","[1, 256, 14, 14]",128,256,"[1, 1]","[1, 1]","[0, 0]","[1, 1]",1,,,,"[256, 128, 1, 1]",,,,,32768,0,6422528,50176,8,,,,False,,
104,conv_4.model.5.0.conv.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
105,conv_4.model.5.0.conv.prelu,QuantActPreLu,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,,,,[256],,,256,0,,50176,,8,-0.24183405935764313,1.0286678075790405,False,True,prelu_then_activation_quant
106,conv_4.model.5.0.conv_dw.conv,Quant_Conv2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",256,256,"[3, 3]","[1, 1]","[1, 1]","[1, 1]",256,,,,"[256, 1, 3, 3]",,,,,2304,0,451584,50176,8,,,,False,,
107,conv_4.model.5.0.conv_dw.bn,BatchNorm2d,"[1, 256, 14, 14]","[1, 256, 14, 14]",,,,,,,,,,256,[256],[256],,[256],[256],512,513,,50176,,,,,,,
